"word";"ceviri";"master";"CreatedAt"
"denote";"belirtmek";"database";"2024-05-31 21:52:26"
"certain";"kesin";"database";"2024-05-31 22:21:34"
"eliminate";"elemek";"database";"2024-05-31 22:22:14"
"discarde";"atmak";"database";"2024-05-31 22:23:19"
"union";"birlik, birleþmek";"database";"2024-05-31 23:49:02"
"abstract";"soyut/ override edilmesi gereken fonksiyon";"oop";"2024-06-01 15:38:00"
"domain";"bir veri türüne karþýlýk gelebilecek deðerler kümesi";"oop";"2024-06-01 16:22:47"
"primitive";"ilkel";"oop";"2024-06-01 16:27:26"
"initialize";"bir sistemi-bileþeni ilk deðerine ayarlamak/ bir sürecin baþlatýlmasý, ilk ayarlarýnýn yapýlmasý";"oop";"2024-06-01 17:14:00"
"implement";"uygulamak";"oop";"2024-06-01 17:17:56"
"inheritance";"kalýtým";"oop";"2024-06-01 17:33:14"
"abstraction";"nesne oluþturmadan sadece kalýtým veren sýnýf";"oop";"2024-06-01 17:40:22"
"instantiate";"örneklendirmek";"oop";"2024-06-01 17:42:26"
"conflict";"anlaþmazlýk";"oop";"2024-06-01 17:44:42"
"observe";"gözlemek";"oop";"2024-06-01 17:45:39"
"constructor";"yapýcý, oluþturucu fonksiyon (nesne)";"oop";"2024-06-02 12:14:19"
"comparison";"karþýlaþtýrma";"oop";"2024-06-02 12:47:02"
"immutable";"deðiþtirilemez";"oop";"2024-06-02 12:56:41"
"enum";"java'da sabit deðerler kümesini temsil eden sýnýf türü";"oop";"2024-06-02 13:24:37"
"static";"oop'de bir veriye ya da bir fonksiyona nesne ihtiyacý olmadan eriþilebilmesi göstergesi";"oop";"2024-06-02 17:56:39"
"iterable";"yinelenebilen, listede gezmeni saðlayan";"oop";"2024-06-02 20:41:49"
"instance";"örnek, misal";"oop";"2024-06-02 20:43:56"
"through";"baþýndan sonuna kadar";"oop";"2024-06-02 20:45:03"
"significante";"önemli";"oop";"2024-06-02 20:45:36"
"contain";"kapsamak, içermek";"oop";"2024-06-02 20:46:13"
"indicate";"belirtmek,göstermek";"oop";"2024-06-02 20:49:29"
"constraint";"kýsýtlama";"oop";"2024-06-02 20:58:11"
"polymorphism";"ayný iþi farklý sýnýflar farklý þekilde yapabilir(overload, overwrite)";"oop";"2024-06-02 21:56:50"
"incorporate";"içermek";"data science";"2024-06-10 04:49:33"
"emerge";"ortaya çýkmak";"data science";"2024-06-10 04:52:41"
"exlporatory";"keþif amaçlý";"data science";"2024-06-10 04:53:37"
"scale";"gerekli kapasite";"data science";"2024-06-10 04:56:28"
"approach";"yaklaþým-yaklaþma";"data science";"2024-06-10 04:57:41"
"encompass";"kapsamak";"data science";"2024-06-10 04:59:19"
"reveal";"ortaya çýkarmak";"data science";"2024-06-10 05:01:41"
"stakeholders";"paydaþlar";"data science";"2024-06-10 05:02:51"
"conclusion";"çözüm";"data science";"2024-06-10 05:03:39"
"aggregating";"toplamak birleþtirmek";"data science";"2024-06-10 05:05:14"
"substantive";"asýl, saðlam";"data science";"2024-06-10 05:08:59"
"appreciating";"takdir etmek";"data science";"2024-06-10 05:10:57"
"scarce";"nadir";"data science";"2024-06-10 05:12:45"
"obtain";"elde etmek";"data science";"2024-06-10 05:13:32"
"strive";"çabalamak";"data science";"2024-06-10 05:14:07"
"wisdom";"bilgelik";"data science";"2024-06-10 05:15:44"
"insight";"derinlemesine anlayýþ, farkýndalýk";"data science";"2024-06-10 05:17:19"
"prediction";"tahmin";"data science";"2024-06-10 05:20:26"
"broad";"geniþ, kalýn";"data science";"2024-06-10 05:21:52"
"distribution";"daðýlým";"data science";"2024-06-10 05:25:32"
"annual";"senelik";"data science";"2024-06-10 05:26:33"
"likehood";"olasýlýk";"data science";"2024-06-10 05:48:46"
"cumulative";"kümülatif, birikimli";"data science";"2024-06-10 06:47:10"
"tendency";"eðilim";"data science";"2024-06-10 06:49:20"
"measure";"ölçü";"data science";"2024-06-10 06:50:05"
"delegate";"temsilci,fonksiyon iþaretçisi";"oop";"2024-06-13 02:33:10"
"interface";"iki sistemin birbiri ile iletiþim kurmasýný saðlayan arayüz/ class kalýbý, formatý";"oop";"2024-06-13 02:39:19"
"seald";"mühürlü, bir classýn miras vermesini engeller";"oop";"2024-06-13 02:44:43"
"final";"metod override edilemez, class miraz alamaz, veri deðiþtirilemez";"oop";"2024-06-13 02:46:41"
"property";"eriþim izin çeþitlerinin genel ismi";"oop";"2024-06-13 02:53:36"
"overload";"Ayný sýnýf farklý parametreler ile fonksiyon yazýmý";"oop";"2024-06-13 02:55:55"
"override";"farklý sýnýflarda (miras vs) ayný fonksiyonun yazýmý";"oop";"2024-06-13 02:56:56"
"composition";"bütün parça iliþkisi, parça bütüne baðýmlý var olabilir";"oop";"2024-06-13 03:36:10"
"aggregation";"bütün parça iliþkisi, parçave bütün birbirlerinden baðýmsýz var olabilir";"oop";"2024-06-13 03:43:35"
"association";"nesneler arasý iliþki";"oop";"2024-06-13 03:48:45"
"injection";"dependancy, baðýmlýlýk";"oop";"2024-06-13 03:49:37"
"base";"c# miras veren";"oop";"2024-06-13 03:50:24"
"driver";"c# miras alan";"oop";"2024-06-13 03:50:40"
"superclass";"java miras veren";"oop";"2024-06-13 03:50:57"
"subclass";"java miras alan";"oop";"2024-06-13 03:51:17"
"virtual";"bir þey var olmadan yazýlým, simülasyon yoluyla oluþma/ override edliebilecek fonksiyon";"oop";"2024-06-13 04:09:02"
"annotation";"dipnot (@Override,@Overload) gibi";"oop";"2024-06-29 14:11:49"
"rectangle";"dikdörtgen";"artificial intelligence";"2024-08-10 11:39:17"
"define";"tanimlamak";"artificial intelligence";"2024-08-10 11:45:55"
"expression";"ifade, gosterim, toplama-cikarma gibi semboller";"artificial intelligence";"2024-08-10 12:02:08"
"interaction";"etkilesim";"artificial intelligence";"2024-08-10 12:03:56"
"hc-append";"yan yana ekleme";"artificial intelligence";"2024-08-10 12:12:13"
"vc-append";"alt alta ekleme";"artificial intelligence";"2024-08-10 12:12:47"
"complexity";"karmasiklik";"artificial intelligence";"2024-08-10 13:14:32"
"iterative";"yinelemeli";"artificial intelligence";"2024-08-10 13:17:16"
"deepening";"derinlesme";"artificial intelligence";"2024-08-10 13:18:01"
"breadth";"genislik";"artificial intelligence";"2024-08-10 13:18:49"
"abort";"programin beklenmedik sekilde durmasi";"data science";"2024-08-11 13:23:02"
"violate";"bir kurali, yasayi cignemek";"data science";"2024-08-11 13:25:02"
"serializability";"birden cok islem ayný anda gerceklesirken bunlari sirali hale sokar";"data science";"2024-08-11 13:28:02"
"several";"birkaç";"data science";"2024-08-11 13:29:24"
"deadlock";"birden fazla islem calisirken devam etmek icin birbirlerini sonsuza kadar beklemesi durumu";"data science";"2024-08-11 13:31:17"
"catastrophe";"buyuk felaket yikim";"data science";"2024-08-11 13:36:29"
"partially";"kýsmen";"data science";"2024-08-11 13:38:01"
"committed";"adanmislik, bir islemin gerceklestirilmesi";"data science";"2024-08-11 13:42:30"
"transaction";"bir dizi islem veya komutun bir butun olarak ele alindigi birim";"data science";"2024-08-11 13:44:35"
"atomicity";"islemin tamami gerceklesir ha da hic gerceklesmez";"data science";"2024-08-11 13:48:01"
"consistency";"veri tabanindaki kisit-ihlal lere uygunluk";"data science";"2024-08-11 13:49:04"
"isolation";"izole olmasi";"data science";"2024-08-11 13:49:39"
"durability";"degisikler islem bitince kalici";"data science";"2024-08-11 13:50:07"
"terminate";"bir islem veya durumun sonlanmasi";"data science";"2024-08-11 13:51:24"
"specify";"bir seyin detayini gereksinimlerini kosullarini acikca acýklamak";"data science";"2024-08-11 14:06:10"
"subsequent";"bir olayin önceki olaydan hemen sonra gerceklestigini belirtir";"data science";"2024-08-11 14:08:05"
"concurrency";"ayni anda birden fazla islemin gerceklesmesi";"data science";"2024-08-11 14:30:34"
"interlaced";"veriler veya bilgiler ic ice gectiklerinde alternatif bir sekilde duzenlenmesi durumu";"data science";"2024-08-11 14:35:14"
"aggregate";"bircok ogeyi veya veriyi bir araya getirip butun olusturmak";"data science";"2024-08-11 14:36:50"
"recovery";"bir bozulma veya kayip durumunda eski duruma dönme cabasi, sureci";"data science";"2024-08-11 14:38:10"
"recessitate";"bir seyi eski haline getirmek yeniden baslatmak";"data science";"2024-08-11 14:39:26"
"insufficient";"bir seyin belirli bir is icin yetirli miktarda bulunmamasi durumu";"data science";"2024-08-11 14:40:28"
"permanently";"kalici olarak";"data science";"2024-08-11 14:44:57"
"rollback";"veri tabaninda bir islemin eski haline dondurulmesi";"data science";"2024-08-11 14:45:35"
"relate";"veri tabaninda tablolar veya veriler arasindaki iliski seklini ifade eder";"data science";"2024-08-11 14:48:57"
"component";"bir butunun parcasi veya bileseni";"data science";"2024-08-11 14:50:19"
"purpose";"amac, hedef";"data science";"2024-08-11 14:50:56"
"participant";"herhangi bir olusum, topluluk icinde bulunan kimse";"data science";"2024-08-11 14:52:24"
"retrive";"geri alýnma, bulunma, elde edilme";"data science";"2024-08-11 14:53:37"
"transition";"bir durum veya asamadan bir baskasina gecme";"data science";"2024-08-11 14:55:53"
"properties";"bir seyin sahip oldugu nitelikler";"data science";"2024-08-11 14:56:59"
"participate";"herhangi bir olusumda yer almak rol ustlenmek";"data science";"2024-08-11 14:58:19"
"cascadeless";"bir islem bitmeden digerini baslatmaz veya bir islemin digerini etkilememesi; dolayisiyla tutarlilik";"data science";"2024-08-11 15:00:58"
"precedence";"islemler arasinda oncelik sirasini belirler";"data science";"2024-08-11 15:02:26"
"anomaly";"olagan disi anormal veriler";"data science";"2024-08-11 15:03:37"
"classification";"verileri gruplara, katagorilere ayirma sureci";"data science";"2024-08-11 15:08:27"
"regression";"hedef degiskeni tahmin etmek icin kullanilan modelleme teknigi";"data science";"2024-08-11 15:10:08"
"bayes";"kosullu olasilik hesabi yapmayi saglayan bir teorem";"data science";"2024-08-11 15:11:15"
"correlation";"degiskenler arasinda bir iliskinin varligi ve orani";"data science";"2024-08-11 15:14:51"
"artifact";"veri toplama veya analiz sirasinda ortaya cikan yaniltici sonuc";"data science";"2024-08-11 15:16:26"
"visualize";"gorsellestirme";"data science";"2024-08-11 15:17:12"
"validate";"verilerin veya sistemlerin dogrulugunu kontrol etme/ doðrulamak";"data science";"2024-08-11 15:19:37"
"accuracy";"dogruluk, kesinlik olcusu";"data science";"2024-08-11 15:20:32"
"precision";"hassasiyet olcusu";"data science";"2024-08-11 15:21:11"
"lineer regression";"surekli bir bagýmlý degiskeni tahmin etmek icin kullanýlan regresyon yontemi";"data science";"2024-08-11 15:26:27"
"logistic regression";"birden fazla katagoriye ayrilmis bagimli degiskenleri siniflandirmak i. k. regresyon yontemi";"data science";"2024-08-11 15:28:23"
"clustering";"kumeleme";"data science";"2024-08-11 15:29:00"
"supervised";"denetimli ogrenme";"data science";"2024-08-11 15:29:32"
"unsupervised";"denetimsiz ogrenme";"data science";"2024-08-11 15:29:41"
"under sampling";"az ornegi olan sinif icin diðer sinifin orneklerini azaltma";"data science";"2024-08-11 15:31:23"
"over sampling";"cok ornegi olan sinif icin diðer sinifin orneklerini cogaltma";"data science";"2024-08-11 15:31:48"
"avoid";"kacinmak";"artificial intelligence";"2024-08-11 16:10:23"
"consume";"harcamak, kullanmak, tüketmek, yok etmek";"artificial intelligence";"2024-08-12 13:53:58"
"compute";"hesaplama, iþlem yapma";"artificial intelligence";"2024-08-12 13:54:56"
"equilateral";"eþkenar";"artificial intelligence";"2024-08-12 14:02:34"
"extract";"bir þeyden para, bilgi, özet, parça çýkarma";"artificial intelligence";"2024-08-12 14:09:47"
"notation";"semboller, iþaretler, yazým kurallarý, alansal gösterim";"artificial intelligence";"2024-08-12 14:34:32"
"implication";"çýkarýmlar, sonuçlar, etkiler/ mantýktaki (ise) önermesi";"artificial intelligence";"2024-08-12 14:39:16"
"concept";"kavram, düþünce, fikir, anlayýþ, konsept";"artificial intelligence";"2024-08-12 14:42:52"
"bound";"sýnýr limit";"artificial intelligence";"2024-08-12 16:22:17"
"identifier";"tanýmlayýcý";"artificial intelligence";"2024-08-12 16:23:45"
"treshold";"bir dinamik islemcinin(compressor vs) sinyal iþlemeye baþlamasý için gereken ses seviyesi";"mix master";"2024-08-13 11:35:45"
"ratio";"kompresörün sinyal üzerinde ne kadar sýkýþtýrma yapacaðýný belirten oran";"mix master";"2024-08-13 11:41:23"
"attack";"bir dinamik islemcinin(compressor vs) sinyal iþlemeye baþlamasý için gereken süre";"mix master";"2024-08-13 11:46:17"
"sidechain";"bir efektin (compressor vs) baþka ses kaynaðýndan gelen sinyale göre tetiklenmesi";"mix master";"2024-08-13 11:48:42"
"relase";"bir dinamik islemcinin(compressor vs) sinyal iþlemeyi durdurmasý için gereken süre";"mix master";"2024-08-13 11:51:04"
"make up gain";"bir dinamik islemci(compressor vs) sonucu kaybedilen sinyal miktarýný telafi için açýlan gain";"mix master";"2024-08-13 11:58:03"
"gain stage";"bir ses sinyalinin girdiði her aþama öncesi sonrasý sinsal seviyesini dikkatle kontrol etme";"mix master";"2024-08-13 13:51:02"
"crucial";"hayati, önemli";"mix master";"2024-08-13 13:52:28"
"overlooked";"gözden kaçýrýþmýþ, ihmal edilmiþ";"mix master";"2024-08-13 13:53:29"
"proper";"doðru, düzgün, profesyonel";"mix master";"2024-08-13 13:56:00"
"plenty";"bol miktarda";"mix master";"2024-08-13 13:56:34"
"prosedure";"prosedür";"mix master";"2024-08-13 13:57:22"
"daw";"prodüksiyon programý(studio one vs)";"mix master";"2024-08-13 13:59:53"
"flow";"akýþ, düzenli hareket";"mix master";"2024-08-13 14:00:46"
"clipping";"ses patlamasý, sinyal maks seviyeyi aþýnca kesilip distorsion'a uðramasý";"mix master";"2024-08-13 14:02:22"
"headroom";"sinyalin maks seviyeye gelmesine kalan alan miktarý";"mix master";"2024-08-13 14:04:43"
"applie";"uygula";"mix master";"2024-08-13 14:53:28"
"generate";"oluþturmak";"mix master";"2024-08-13 14:55:54"
"gear";"müzik aletleri, ekipmanlarý ve teknolojik araçlarý";"mix master";"2024-08-13 14:56:55"
"sample";"projeye baðýmsýz ses dosyasý eklemek(retro pop in rap)/ sanal enstruman için ses örneklemesi";"mix master";"2024-08-13 15:06:24"
"regard";"saygý, ilgi, görüþ";"mix master";"2024-08-13 15:08:41"
"knob";"miktar ayarý yapan yuvarlak tuþ(dönerek ayarlanýr)";"mix master";"2024-08-13 15:14:16"
"fader";"miktar ayarý yapan dikey çizgi tuþ(aþaðý yukarý ayarlanýr)";"mix master";"2024-08-13 15:14:48"
"adjust";"ayarlamak";"mix master";"2024-08-13 15:17:02"
"prevent";"önlemek";"mix master";"2024-08-13 15:17:53"
"metering";"ses seviyelerini, dinamiklerini ve parametrelerini ölçüp görselleþtirme (plugin türü)";"mix master";"2024-08-13 15:21:32"
"spectrum analyzer";"eq tablosu";"mix master";"2024-08-13 15:28:29"
"rely";"güvenmek";"mix master";"2024-08-13 16:51:30"
"overall";"tüm, tam";"mix master";"2024-08-13 16:52:42"
"influence";"etkilemek";"mix master";"2024-08-13 16:53:18"
"despite";"aksine";"mix master";"2024-08-13 16:54:43"
"perceive";"algýlamak";"mix master";"2024-08-13 16:56:41"
"constantly";"sürekli";"mix master";"2024-08-13 16:57:26"
"illustration";"kavram, fikir, hikayeyi görsel þeklide ifade eden resim, foto, video vs";"mix master";"2024-08-13 17:02:34"
"sub-bass";"20-60 Hz aralýðýnda fiziksel anlaþýlan bölge derinlik-enerji-duygusal etki katma bölgesi";"mix master";"2024-08-13 17:16:20"
"approx";"yaklaþýk";"mix master";"2024-08-13 17:18:05"
"amplitude";"genlik yükseklik (dB)";"mix master";"2024-08-13 17:19:29"
"curve";"eðri";"mix master";"2024-08-13 17:20:31"
"perception";"algý";"mix master";"2024-08-13 17:22:28"
"psychoacoustics";"insan kulaðýnýn sesleri algýlamasýný ve beynin iþlemesini araþtýran bilim";"mix master";"2024-08-13 17:25:18"
"rule of thumb";"temel kural";"mix master";"2024-08-13 18:19:24"
"nothc";"çok dar bir frekans aralýðýný azaltmak veya tamamen kesmek";"mix master";"2024-08-13 18:23:16"
"resonance";"bir sesin belirli bir noktada güçlenmesi veya belirgin hale gelmesine denir";"mix master";"2024-08-13 18:24:18"
"conventional";"geleneksel, alýþýlagelen, yaygýn olan, standart";"mix master";"2024-08-13 18:27:08"
"process";"bir þeyin gerçekleþtirilmesi için izlenen adýmlar ve yöntemler bütünü";"mix master";"2024-08-13 18:30:25"
"high-end";"8khz 20khz aralýðýndaki tiz sesleri kapsar('s','t',ziller vs)";"mix master";"2024-08-13 18:42:50"
"mid-range";"250 hz 4 khz aralýðýný kapsar(vokal,gitar,piano vs)";"mix master";"2024-08-13 18:43:30"
"therefore";"bu yüzden bu nedenle";"mix master";"2024-08-13 18:49:35"
"spike";"ani kýsa süreli sinyal artýþý";"mix master";"2024-08-13 19:05:52"
"muddle";"karýþýklýk";"mix master";"2024-08-13 19:07:22"
"predicate";"bir veri üzerinde iþlem yapan, true ya da false döndüren fonksiyon(koþul ölçer)";"artificial intelligence";"2024-08-17 10:30:14"
"recall";"hatýrlamak";"artificial intelligence";"2024-08-17 10:34:51"
"compose";"birleþtirmek";"artificial intelligence";"2024-08-17 10:36:42"
"event";"olay etkinlik";"artificial intelligence";"2024-08-17 10:39:51"
"interactive";"etkileþimli, kullanýcýnýn doðrudan müdahale edebileceði,yanýt alabileceði; bilgisayar, program vs";"artificial intelligence";"2024-08-17 10:42:56"
"tackle";"bir problemi ele almak, baþa çýkmak, üstesinden gelmek";"artificial intelligence";"2024-08-17 10:45:17"
"clarify";"açýklýða kavuþturma, netleþtirme";"artificial intelligence";"2024-08-17 10:46:53"
"aspect";"yön, açý, özellik";"artificial intelligence";"2024-08-17 10:48:07"
"raw";"ham iþlenmemiþ";"artificial intelligence";"2024-08-17 10:49:52"
"suite";"birbirleriyle iliþkisi olan, birbirini tamamlayan bir dizi öðe";"artificial intelligence";"2024-08-17 10:52:02"
"operating system";"iþletim sistemi";"artificial intelligence";"2024-08-17 10:52:58"
"operate";"iþletmek, yönetmek";"artificial intelligence";"2024-08-17 10:53:56"
"keystorke";"klavye üzerinde yapýlan tuþ vuruþlarý";"artificial intelligence";"2024-08-17 10:55:56"
"vein";"benzerlik, ayný tarz (in the same vein)";"artificial intelligence";"2024-08-17 10:57:43"
"conversaley";"tersine, aksine";"artificial intelligence";"2024-08-17 10:59:14"
"accomplish";"baþarmak, tamamlamak, hedefe ulaþmak";"artificial intelligence";"2024-08-17 11:01:21"
"designate";"belirleme, iþaretleme, atama";"artificial intelligence";"2024-08-17 11:06:08"
"present";"sunmak, göstermek";"artificial intelligence";"2024-08-17 11:08:08"
"addition";"ekleme, toplama, ilave etme";"artificial intelligence";"2024-08-17 11:11:26"
"keep track";"takip etmek, izlemek";"artificial intelligence";"2024-08-17 11:12:11"
"track";"iz, yol";"artificial intelligence";"2024-08-17 11:12:32"
"state";"durum, eyalet, belirtmek";"artificial intelligence";"2024-08-17 11:13:24"
"initial";"ilk, baþlangýç";"artificial intelligence";"2024-08-17 11:15:25"
"consist";"oluþmak, ibaret olmak";"artificial intelligence";"2024-08-17 11:16:44"
"clause";"madde þart";"artificial intelligence";"2024-08-17 11:17:28"
"greed";"aç gözlü davranmak";"artificial intelligence";"2024-08-17 13:27:04"
"knapsack";"sýrt çantasý, arama algoritmasý 'açgözlü'";"artificial intelligence";"2024-08-17 13:28:20"
"traverse";"veri yapýlarýnda, aðaçlarda, grafiklerde düðümler arasýnda geçiþ yapma, tüm elemanlarý tarama";"artificial intelligence";"2024-08-17 14:36:01"
"heuristic";"hemen çözüm, kestirim, aç gözlü yaklaþým";"artificial intelligence";"2024-08-17 14:37:12"
"admissible";"kabul edilebilir";"artificial intelligence";"2024-08-17 14:43:39"
"overestimate";"gerçek performansýn üzerinde tahmin, abartý";"artificial intelligence";"2024-08-17 15:29:00"
"arbitrarily";"rastgele, keyfi olarak";"artificial intelligence";"2024-08-17 20:41:08"
"constant";"deðiþmez deðiþken, sabit deðer(int a)";"artificial intelligence";"2024-08-17 20:44:57"
"compound";"farklý veri türlerinin birleþimi olan veri türü/ farklý iþlemlerin oluþturduðu süreç";"artificial intelligence";"2024-08-17 20:54:08"
"produce";"kod-algoritma çýktýsý/ veri üretmek(ai)";"artificial intelligence";"2024-08-17 21:02:28"
"precisely";"açýk olarak, kesinlikle, tam anlamýyla";"artificial intelligence";"2024-08-17 21:04:02"
"suggest";"önermek";"artificial intelligence";"2024-08-17 21:04:52"
"field";"alan, boþluk";"artificial intelligence";"2024-08-17 21:07:25"
"tinker";"ufak tefek tamir, kod üzerinde deneme yapa yapa çalýþmak";"artificial intelligence";"2024-08-18 11:18:52"
"dimension";"boyut, ölçü, boyutlandýrma";"artificial intelligence";"2024-08-18 11:19:52"
"concern";"endiþe, kaygý/ ilgi, alaka/ mesele, konu/ ilgilendirmek";"artificial intelligence";"2024-08-18 11:22:12"
"sequence";"sýra, dizi, ardýþýklýk";"artificial intelligence";"2024-08-18 11:23:51"
"batch";"toplu, grup, yýðýn";"artificial intelligence";"2024-08-18 11:27:48"
"determine";"belirlemek, karar vermek, saptamak";"artificial intelligence";"2024-08-18 11:30:32"
"anticipate";"beklemek, öngörmek, tahmin etmek";"artificial intelligence";"2024-08-18 11:32:28"
"intermezzo";"ara parça, ara müzik";"artificial intelligence";"2024-08-18 11:34:05"
"reinvent";"tekrardan icat etmek";"artificial intelligence";"2024-08-18 11:35:27"
"signature";"imza";"artificial intelligence";"2024-08-18 11:41:28"
"spirit";"ruh, moral, karakter";"artificial intelligence";"2024-08-18 11:43:59"
"objective function";"amaç fonksiyonu";"artificial intelligence";"2024-08-19 15:18:24"
"promote";"teþvik etmek, yükseltmek, desteklemek, tanýtmak";"artificial intelligence";"2024-08-19 15:19:13"
"exhaustive";"kapsamlý, ayrýntýlý";"artificial intelligence";"2024-08-19 15:20:12"
"impilict";"ima edilen, örtük, açýkça ifade edilmeyen";"artificial intelligence";"2024-08-19 18:27:31"
"collaborative";"iþbirlikçi, ortak çalýþmaya dayalý";"artificial intelligence";"2024-08-22 11:57:41"
"repository";"depo, kod deposu";"artificial intelligence";"2024-08-22 12:02:53"
"collaborator";"iþ birlikçi, ortak çalýþan";"artificial intelligence";"2024-08-22 12:08:50"
"resume";"özgeçmiþ";"artificial intelligence";"2024-09-10 09:16:16"
"purchase";"satýn almak";"artificial intelligence";"2024-09-10 09:18:34"
"enhance";"geliþtirmek, yükseltmek, büyütmek";"artificial intelligence";"2024-09-10 10:13:36"
"submission";"teslim, sunma, baþvuru";"artificial intelligence";"2024-09-10 11:56:20"
"tap";"dokunmak, kullanmak";"ibm data analyst";"2024-09-23 08:52:21"
"competitive";"rekabetçi";"ibm data analyst";"2024-09-23 08:53:42"
"initiative";"giriþim";"ibm data analyst";"2024-09-23 08:55:04"
"expand";"geniþletmek";"ibm data analyst";"2024-09-23 08:55:43"
